"","score"
"AHR",0.215954962123058
"AP1",1.78352201985536
"APEX1",0.914909524338193
"AR",1.69943653260175
"ARNT",1.00401841808558
"ASCL1",2.40745281319068
"ATF1",1.41078604164784
"ATF2",1.61118910117272
"ATF3",-0.159312239492078
"ATF4",2.11312786673834
"ATF6",1.13427225261986
"BCL6",-1.86739878279493
"BHLHE40",-0.740750773602309
"BMAL1",0.157360439304866
"BRCA1",1.10932744989802
"CDX2",1.01745268051062
"CEBPA",-0.389683953844915
"CEBPB",0.822714216791888
"CEBPD",-0.949430423104103
"CEBPG",0.809501231248733
"CLOCK",-1.87852975324036
"CREB1",0.792211667051335
"CREBBP",1.80182343088396
"CREM",-0.930179546498622
"CTCF",1.86899875029675
"CTNNB1",3.23548384509811
"CUX1",2.4909899210541
"DBP",1.0585768566131
"DDIT3",0.0352019510370069
"DLX4",-0.00189626468887071
"DLX5",2.50366270454227
"DNMT1",1.76558278836828
"DNMT3A",1.62608416193054
"DNMT3B",0.835611214745481
"E2F1",4.54927175111459
"E2F2",2.06430681984549
"E2F3",2.10883987724445
"E2F4",5.95134817720793
"E2F6",0.415116230194453
"EGR1",0.136848513216387
"EGR2",0.293843861753701
"ELF1",0.233264000482664
"ELF4",-0.432619862566878
"ELK1",0.81865536064395
"EP300",1.422283795572
"EPAS1",1.78057241530158
"ERG",1.45967254710324
"ESR1",1.22477004597457
"ESR2",1.04721358274158
"ESRRA",0.277369287508532
"ETS1",2.16961054767897
"ETS2",0.184062024308358
"ETV4",0.60104804809419
"EWSR1",2.11370639515136
"EZH2",0.461319753741926
"FLI1",2.70952504092729
"FOS",1.38912932228438
"FOSB",1.13236491700133
"FOSL1",1.36087869003102
"FOSL2",-0.0798694934093173
"FOXA1",-0.405951445101155
"FOXA2",-1.37994202052971
"FOXM1",1.9611062176285
"FOXN1",2.18592798144925
"FOXO1",1.0022386569286
"FOXO3",0.151746405298699
"FOXP3",-0.43837229729187
"GABPA",0.569831069012862
"GATA1",1.29573058967683
"GATA2",-0.119210457170533
"GATA3",1.53203699751496
"GATA4",0.815915360753817
"GATA6",1.71067427014389
"GFI1",-0.598526352004539
"GLI1",2.11652358598544
"GLI2",1.88080297405981
"GLI3",2.12870301151487
"HAND2",1.69903095504517
"HBP1",1.08944950833566
"HDAC1",-1.88192380161275
"HES1",0.372155076728174
"HEY1",1.40192337589573
"HIF1A",0.980936099057626
"HMGA1",0.927703162988092
"HMGA2",0.8181313049661
"HNF1A",0.277039368360957
"HNF1B",-0.388735341607601
"HNF4A",0.242804394298411
"HOXA10",0.915864798590075
"HOXA9",0.359109087160691
"HR",1.59414078138428
"HSF1",0.245595657727442
"ID1",0.151537221843668
"ID2",0.472446949418023
"ID3",1.3278174212697
"IKZF1",-1.57333753035088
"IRF1",0.440090878742227
"IRF2",1.3079890492819
"IRF3",1.41707147074016
"IRF4",0.923823505521343
"IRF8",0.857336273638024
"ISL1",-0.311453518450748
"JDP2",-0.532188409672126
"JUN",1.91900300680282
"JUNB",0.255276264715302
"JUND",-0.391036677437519
"KAT5",0.962302179421184
"KAT7",0.0912461149191654
"KDM5B",1.87586762719323
"KLF2",0.252954448094642
"KLF4",-0.558872781046852
"KLF5",1.34276954126746
"KLF6",0.383383725472921
"KMT2A",-0.0673764338505446
"LEF1",0.892526787577383
"LHX2",1.5374110959572
"MAF",2.20896380060979
"MAX",0.191233905617722
"MAZ",1.364653363535
"MBD2",0.823476854290193
"MECP2",0.589842202564124
"MEF2A",-0.433532612743629
"MEF2C",1.13233556858617
"MITF",-1.00129043477557
"MSX2",-0.2125150933414
"MTA1",0.103822043512275
"MTF1",0.901558311042067
"MYB",2.76852775922856
"MYBL2",1.83336910027944
"MYC",5.76227710703867
"MYCN",1.24336428126054
"MYOD1",1.68716127774094
"MYOG",-0.635395100196181
"NANOG",1.84635322035235
"NCOA1",0.854311688330509
"NCOA2",0.375372304058108
"NCOA3",0.33802190315734
"NCOR1",0.0857788236067304
"NCOR2",0.913263687900876
"NEUROD1",-0.839699940558852
"NEUROG3",0.506460400838063
"NFAT5",1.19600753112679
"NFATC1",0.897382632746275
"NFATC2",0.818097795014782
"NFATC4",-0.829839905600562
"NFE2L2",1.69063409591975
"NFIA",-0.559481489386934
"NFIC",1.54060540165397
"NFKB",1.69220720966337
"NFKB1",1.11869751077723
"NFKB2",2.57630997084532
"NFYA",1.6222332963229
"NFYB",1.48357503974587
"NKX2-1",0.897855331032888
"NKX2-5",1.53982482718135
"NKX3-1",1.70833444948752
"NOTCH1",0.146236922636519
"NR0B1",-0.551510044691409
"NR0B2",-0.197526339831989
"NR1H2",2.12418005059604
"NR1H3",1.95348475122017
"NR1H4",0.781170135363842
"NR1I2",1.09173018693975
"NR1I3",-0.604518366483153
"NR2C2",1.91295393552994
"NR2F1",1.02033580874558
"NR2F2",1.93542320677518
"NR3C1",1.17565445775633
"NR3C2",0.984539548782059
"NR4A1",-0.689977223102633
"NR4A2",-0.586575652109657
"NR4A3",1.35729005999473
"NR5A1",-0.170119640348778
"NR5A2",-0.582271581794867
"NRF1",-0.0710974552321768
"NRG1",1.06016794081333
"OTX2",0.0528328188247388
"PAX3",1.9396160256911
"PAX5",0.931346792439881
"PAX6",1.07917975083024
"PBX1",-0.167765605954901
"PDX1",-0.0329748310711804
"PGR",1.15136541030162
"PITX2",0.0991108781855202
"POU1F1",-0.655702764099319
"POU2F1",1.72282798393703
"POU4F1",-0.338986993623721
"POU4F2",0.243152339692035
"POU5F1",-0.174565019746058
"PPARA",1.14283660759369
"PPARD",1.52726913483862
"PPARG",-1.06441381862623
"PPARGC1A",-0.325851136791778
"PRDM1",-1.11525553877602
"PROX1",2.44671621964005
"RARA",1.90392272493817
"RARB",1.14184536225073
"RARG",1.05822798573971
"RB1",-0.591709357900598
"RBPJ",1.87449786015403
"REL",0.661198634636567
"RELA",1.40627948083947
"RELB",1.65558504441014
"REST",3.52791447927271
"RORA",-0.602290475160326
"RUNX1",2.08467252308537
"RUNX2",3.07755785055748
"RUNX3",1.15946463764517
"RXRA",0.564954588746005
"SATB1",2.91711692489863
"SATB2",1.17544613867869
"SIRT1",-0.13827879616223
"SMAD1",4.32436346192729
"SMAD2",2.93969577777773
"SMAD3",4.04616562569708
"SMAD4",2.37505949295846
"SMAD5",3.54090801549761
"SMAD7",-1.38560645506444
"SMARCA1",1.91812226050936
"SNAI1",1.46989107524821
"SNAI2",-1.20236641379482
"SOX10",-0.465701117364229
"SOX17",0.0520423088776843
"SOX2",1.07806170225538
"SOX9",1.10522340886266
"SP1",6.21176705392243
"SP3",1.96926501372007
"SP4",0.962053375784401
"SP7",1.32911168244773
"SPI1",1.33041248517731
"SREBF1",-1.42235865637626
"SREBF2",0.42149875148289
"SRF",1.91444709114543
"SRY",1.68511919116222
"SSRP1",0.969349803626014
"STAT1",1.44286635145481
"STAT2",0.922621191598021
"STAT3",0.402749056884358
"STAT5A",1.92865872869643
"STAT5B",1.20007285270943
"STAT6",0.663627972873756
"TAF1",0.79397353868755
"TAL1",-0.0706275911752551
"TBP",0.563852600099558
"TBPL1",0.512434490422078
"TBX15",2.14286970817857
"TBX2",-0.226184365335949
"TBX21",-0.648601808185212
"TCF12",-0.934493149721433
"TCF3",1.33442826166628
"TCF4",1.36640803867108
"TCF7L2",2.73295768025063
"TFAP2A",2.36273341355998
"TFAP2C",3.44014827388737
"TFAP4",0.502710495595047
"TFCP2",-0.582180094554355
"TFDP1",1.75650143636035
"TFE3",1.86845072467173
"THRA",1.66657488454466
"THRB",0.615139013105061
"TP53",1.78381705892464
"TP63",1.61039019835267
"TP73",-0.41372297249317
"TTF1",1.04982680059233
"TWIST1",0.871435077533144
"TWIST2",0.683464555389601
"USF1",1.3155795977209
"USF2",0.376731057310076
"VDR",2.20033886545199
"WT1",1.58503018742151
"XBP1",0.914771750111143
"YBX1",1.31336735552124
"YY1",1.36418042032159
"ZBTB16",0.486371402058195
"ZBTB17",1.58007023161701
"ZBTB7A",1.24420593200416
"ZEB1",0.0684083534022431
"ZNF143",1.64478194675772
"ZNF699",-0.0659749799428562
"ZNF91",0.22282103179024
